Ingrediente,Quantita,Unita di misura,Nome Piatto
 Fiocchi di sale,q.b.,n.a.,Insalata di daikon e gamberi
 Limoni,1,pezzi,Insalata di daikon e gamberi
 Basilico,q.b.,n.a.,Insalata di daikon e gamberi
 Olio extravergine d'oliva,q.b.,n.a.,Insalata di daikon e gamberi
 Tuorli,1,pezzi,Insalata di daikon e gamberi
 Aceto di riso,10,g,Insalata di daikon e gamberi
 Wasabi pasta,2,g,Insalata di daikon e gamberi
 Olio di semi di arachide,80,g,Insalata di daikon e gamberi
 Sale fino,q.b.,n.a.,Insalata di daikon e gamberi
 Riso per sushi,300,g,Temaki di salmone
 Acqua,360,ml,Temaki di salmone
 Aceto di riso,90,ml,Temaki di salmone
 Alga kombu,1,pezzi,Temaki di salmone
 Sale fino,3,g,Temaki di salmone
 Zucchero,36,g,Temaki di salmone
 Filetto di salmone norvegese,400,g,Temaki di salmone
 Alga nori,2,fogli,Temaki di salmone
 Avocado,250,g,Temaki di salmone
 Sale fino,1,pizzico,Temaki di salmone
 Pepe nero,1,pizzico,Temaki di salmone
 Zenzero fresco,2,g,Temaki di salmone
 Erba cipollina,2,fili,Temaki di salmone
 Semi di sesamo,q.b.,n.a.,Temaki di salmone
 Semi di sesamo nero,q.b.,n.a.,Temaki di salmone
 Cozze,1,kg,Cozze alla tarantina
 Polpa di pomodoro,400,g,Cozze alla tarantina
 Aglio,2,spicchi,Cozze alla tarantina
 Peperoncino fresco,1,pezzi,Cozze alla tarantina
 Vino bianco,50,g,Cozze alla tarantina
 Olio extravergine d'oliva,40,g,Cozze alla tarantina
 Pepe nero,q.b.,n.a.,Cozze alla tarantina
 Sale fino,q.b.,n.a.,Cozze alla tarantina
 Prezzemolo,q.b.,n.a.,Cozze alla tarantina
 Pane pugliese,8,fette,Cozze alla tarantina
 Pasta Sfoglia rettangolare,230,g,Torta salata alla barbabietola
 Barbabietole precotte,210,g,Torta salata alla barbabietola
 Gorgonzola dolce,150,g,Torta salata alla barbabietola
 Timo,3,rametti,Torta salata alla barbabietola
 Sale fino,q.b.,n.a.,Torta salata alla barbabietola
 Pepe nero,q.b.,n.a.,Torta salata alla barbabietola
 Uova,1,pezzi,Torta salata alla barbabietola
 Zucchine,570,g,Zucchine fritte
 Sale grosso,30,g,Zucchine fritte
 Farina 00,100,g,Zucchine fritte
 Olio di semi di arachide,600,g,Zucchine fritte
 Gamberi,1,kg,Gamberi al cocco
 Farina di riso,150,g,Gamberi al cocco
 Farina di cocco,150,g,Gamberi al cocco
 Uova,3,pezzi,Gamberi al cocco
 Sale fino,q.b.,n.a.,Gamberi al cocco
 Latte di soia,100,g,Gamberi al cocco
 Olio di semi di girasole,200,g,Gamberi al cocco
 Succo di lime,10,g,Gamberi al cocco
 Triplo concentrato di pomodoro,10,g,Gamberi al cocco
 Curry thai rosso,5,g,Gamberi al cocco
 Sale fino,q.b.,n.a.,Gamberi al cocco
 Olio di semi di arachide,1,l,Gamberi al cocco
 Avocado,2,pezzi,Avocado uova e salmone
 Uova medie,4,pezzi,Avocado uova e salmone
 Salmone affumicato,90,g,Avocado uova e salmone
 Erba cipollina,6,rametti,Avocado uova e salmone
 Lime,1,pezzi,Avocado uova e salmone
 Sale fino,q.b.,n.a.,Avocado uova e salmone
 Pepe nero,q.b.,n.a.,Avocado uova e salmone
 Pepe rosa in grani,q.b.,n.a.,Avocado uova e salmone
 Olio extravergine d'oliva,q.b.,n.a.,Avocado uova e salmone
 Pesche noci,1,pezzi,Insalata di frutta
 Ciliegie,150,g,Insalata di frutta
 Mirtilli,60,g,Insalata di frutta
 Fragole,90,g,Insalata di frutta
 Fichi,2,pezzi,Insalata di frutta
 Sedano (con le foglie),2,coste,Insalata di frutta
 Arachidi (non tostate e non salate),40,g,Insalata di frutta
 Succo di limone,30,g,Insalata di frutta
 Olio extravergine d'oliva,30,g,Insalata di frutta
 Sale fino,1,pizzico,Insalata di frutta
 Tonno,550,g,Poke
 Gambi di cipollotto,20,g,Poke
 Olio di sesamo,20,g,Poke
 Semi di sesamo,0.5,Met� dell'ingrediente,Poke
 Peperoncino fresco,20,g,Poke
 Sale delle Hawaii,0.5,Met� dell'ingrediente,Poke
 Salsa di soia,20,g,Poke
 Pane casereccio (4 fette),200,g,Crostino vegano
 Olio extravergine d'oliva,100,g,Crostino vegano
 Tofu,100,g,Crostino vegano
 Pistacchi non salati,50,g,Crostino vegano
 Basilico,10,g,Crostino vegano
 Sale fino,q.b.,n.a.,Crostino vegano
 Pomodorini gialli,100,g,Crostino vegano
 Olive taggiasche,30,g,Crostino vegano
 Carote,80,g,Crostino vegano
 Germogli di barbabietola,30,g,Crostino vegano
 Origano,q.b.,n.a.,Crostino vegano
 Olio extravergine d'oliva,q.b.,n.a.,Crostino vegano
 Basilico,q.b.,n.a.,Crostino vegano
 Melanzane,500,g,Melanzane sott'olio
 Aceto di vino bianco,350,g,Melanzane sott'olio
 Aglio,3,spicchi,Melanzane sott'olio
 Olio extravergine d'oliva,400,g,Melanzane sott'olio
 Acqua,350,g,Melanzane sott'olio
 Fichi medi,8,pezzi,Roselline di prosciutto crudo su fichi
 Prosciutto crudo,8,fette,Roselline di prosciutto crudo su fichi
 Zucchero di canna,30,g,Roselline di prosciutto crudo su fichi
 Ceci precotti,600,g,Hummus
 Semi di sesamo,100,g,Hummus
 Acqua calda,150,g,Hummus
 Succo di limone,0.5,Met� dell'ingrediente,Hummus
 Olio di sesamo,30,g,Hummus
 Paprika,0.5,Met� dell'ingrediente,Hummus
 Aglio,1,spicchio,Hummus
 Sale fino,q.b.,n.a.,Hummus
 Pepe nero,q.b.,n.a.,Hummus
 Prezzemolo,1,ciuffo,Hummus
 Mozzarella di bufala ( 4 da 250 gr l'una),1,kg,Caprese sfiziosa con salsa all'origano
 Pomodori ramati sodi e maturi (delle stesse dimensioni della mozzarella),4,pezzi,Caprese sfiziosa con salsa all'origano
 Basilico,50,g,Caprese sfiziosa con salsa all'origano
 Sale fino,q.b.,n.a.,Caprese sfiziosa con salsa all'origano
 Olio extravergine d'oliva,100,g,Caprese sfiziosa con salsa all'origano
 Origano secco,2,g,Caprese sfiziosa con salsa all'origano
 Riso superfino,500,g,Suppli al telefono
 Carne bovina macinata,150,g,Suppli al telefono
 Fegatini di pollo,60,g,Suppli al telefono
 Mozzarella,200,g,Suppli al telefono
 Funghi secchi,50,g,Suppli al telefono
 Uova medie,2,pezzi,Suppli al telefono
 Passata di pomodoro,400,g,Suppli al telefono
 Brodo di carne,1,l,Suppli al telefono
 Grana Padano DOP,120,g,Suppli al telefono
 Cipolle,0.5,Metti dell'ingrediente,Suppli al telefono
 Burro + 50 g per mantecare,30,g,Suppli al telefono
 Vino bianco,100,ml,Suppli al telefono
 Olio extravergine d'oliva,2,cucchiai,Suppli al telefono
 Sale fino,q.b.,n.a.,Suppli al telefono
 Pepe nero,q.b.,n.a.,Suppli al telefono
 Pangrattato,q.b.,n.a.,Suppli al telefono
 Uova,2,pezzi,Suppli al telefono
 Olio di semi di arachide,q.b.,n.a.,Suppli al telefono
 Patate rosse,1,kg,Crocchette di patate al forno
 Tuorli,30,g,Crocchette di patate al forno
 Noce moscata,q.b.,n.a.,Crocchette di patate al forno
 Pepe nero,q.b.,n.a.,Crocchette di patate al forno
 Sale fino,q.b.,n.a.,Crocchette di patate al forno
 Parmigiano Reggiano DOP grattugiato,100,g,Crocchette di patate al forno
 Uova (2 uova medie),130,g,Crocchette di patate al forno
 Pangrattato,q.b.,n.a.,Crocchette di patate al forno
 Olio extravergine d'oliva,q.b.,n.a.,Crocchette di patate al forno
 Asparagi,800,g,Asparagi in sfoglia con crudo
 Pasta Sfoglia,250,g,Asparagi in sfoglia con crudo
 Prosciutto crudo,8,fette,Asparagi in sfoglia con crudo
 Grana Padano DOP a scaglie,30,g,Asparagi in sfoglia con crudo
 Uova,1,pezzi,Asparagi in sfoglia con crudo
 Patate rosse,600,g,Sbriciolata di patate
 Mozzarella di bufala affumicata,250,g,Sbriciolata di patate
 Pancetta arrotolata a fette,100,g,Sbriciolata di patate
 Uova medio,1,pezzi,Sbriciolata di patate
 Parmigiano Reggiano DOP da grattugiare,80,g,Sbriciolata di patate
 Amido di mais (maizena) senza glutine,200,g,Sbriciolata di patate
 Sale fino,q.b.,n.a.,Sbriciolata di patate
 Pepe nero,q.b.,n.a.,Sbriciolata di patate
 Olio extravergine d'oliva,q.b.,n.a.,Sbriciolata di patate
 Zucchine,800,g,Insalata di zucchine alla menta e basilico
 Basilico,4,foglie,Insalata di zucchine alla menta e basilico
 Menta,4,foglie,Insalata di zucchine alla menta e basilico
 Sale grosso,1,cucchiaio,Insalata di zucchine alla menta e basilico
 Olio extravergine d'oliva,q.b.,n.a.,Insalata di zucchine alla menta e basilico
 Sale fino,q.b.,n.a.,Insalata di zucchine alla menta e basilico
 Pepe nero,q.b.,n.a.,Insalata di zucchine alla menta e basilico
 Aglio,1,spicchio,Insalata di zucchine alla menta e basilico
 Worcestershire sauce,0.5,Metti dell'ingrediente,Salsa cocktail
 Salsa ketchup,45,g,Salsa cocktail
 Tabasco,q.b.,n.a.,Salsa cocktail
 Brandy,0.5,Metti dell'ingrediente,Salsa cocktail
 Tuorli (a temperatura ambiente),1,pezzi,Salsa cocktail
 Succo di limone,15,g,Salsa cocktail
 Olio di semi di girasole,120,g,Salsa cocktail
 Pepe nero,q.b.,n.a.,Salsa cocktail
 Sale fino,q.b.,n.a.,Salsa cocktail
 Zucchine baby con i fiori,300,g,Plumcake alle zucchine
 Uova ( circa 3) a temperatura ambiente,160,g,Plumcake alle zucchine
 Farina 00,180,g,Plumcake alle zucchine
 Latte intero a temperatura ambiente,100,g,Plumcake alle zucchine
 Olio di semi di girasole,100,g,Plumcake alle zucchine
 Provolone piccante,200,g,Plumcake alle zucchine
 Menta,10,foglie,Plumcake alle zucchine
 Lievito istantaneo per preparazioni salate,16,g,Plumcake alle zucchine
 Sale fino,q.b.,n.a.,Plumcake alle zucchine
 Pepe nero,q.b.,n.a.,Plumcake alle zucchine
 Riso Carnaroli,280,g,Involtini di verza
 Verza,6,foglie,Involtini di verza
 Salsiccia,350,g,Involtini di verza
 Sedano,40,g,Involtini di verza
 Carote,40,g,Involtini di verza
 Cipolle dorate,40,g,Involtini di verza
 Olio di oliva,50,g,Involtini di verza
 Burro,30,g,Involtini di verza
 Brodo vegetale,1,l,Involtini di verza
 Sale fino,q.b.,n.a.,Involtini di verza
 Pepe nero,q.b.,n.a.,Involtini di verza
 Grana Padano DOP grattugiato,80,g,Involtini di verza
 Timo,2,rametti,Involtini di verza
 Vino bianco,60,g,Involtini di verza
 Tomini,4,pezzi,Tomino in crosta di sfoglia
 Pasta Sfoglia rettangolare,230,g,Tomino in crosta di sfoglia
 Prosciutto cotto (4 fette),70,g,Tomino in crosta di sfoglia
 Timo,q.b.,n.a.,Tomino in crosta di sfoglia
 Pepe nero,q.b.,n.a.,Tomino in crosta di sfoglia
 Tuorli,1,pezzi,Tomino in crosta di sfoglia
 Panna fresca liquida,10,g,Tomino in crosta di sfoglia
 Gamberi (12 pezzi),600,g,Gamberi in crosta
 Pasta Sfoglia,120,g,Gamberi in crosta
 Uova,1,pezzi,Gamberi in crosta
 Semi di sesamo nero,0.5,Metti dell'ingrediente,Gamberi in crosta
 Semi di sesamo,0.5,Metti dell'ingrediente,Gamberi in crosta
 Semi di girasole,0.5,Metti dell'ingrediente,Gamberi in crosta
 Olio extravergine d'oliva,q.b.,n.a.,Gamberi in crosta
 Sale fino,q.b.,n.a.,Gamberi in crosta
 Pepe nero,q.b.,n.a.,Gamberi in crosta
 Yogurt greco,200,g,Gamberi in crosta
 Menta,1,ciuffo,Gamberi in crosta
 Succo di limone,0.5,Metti dell'ingrediente,Gamberi in crosta
 Olio extravergine d'oliva,10,g,Gamberi in crosta
 Sale fino,q.b.,n.a.,Gamberi in crosta
 Pepe nero,q.b.,n.a.,Gamberi in crosta
 Patate ( circa 1),180,g,Tortino di patate in padella
 Pecorino da grattugiare,40,g,Tortino di patate in padella
 Fiori di zucca,6,pezzi,Tortino di patate in padella
 Fontina,100,g,Tortino di patate in padella
 Prosciutto cotto,110,g,Tortino di patate in padella
 Yogurt bianco naturale compatto,150,g,Insalata allo yogurt con salmone e gamberetti
 Salmone affumicato,100,g,Insalata allo yogurt con salmone e gamberetti
 Gamberetti,100,g,Insalata allo yogurt con salmone e gamberetti
 Succo di limone,1,pezzi,Insalata allo yogurt con salmone e gamberetti
 Pepe nero,1,g,Insalata allo yogurt con salmone e gamberetti
 Olio extravergine d'oliva,40,g,Insalata allo yogurt con salmone e gamberetti
 Erba cipollina,2,g,Insalata allo yogurt con salmone e gamberetti
 Radicchio,100,g,Insalata allo yogurt con salmone e gamberetti
 Sale fino,2,g,Insalata allo yogurt con salmone e gamberetti
 Lattuga iceberg,100,g,Insalata allo yogurt con salmone e gamberetti
 Patate a pasta bianca,680,g,Pesce finto
 Tonno sott'olio,240,g,Pesce finto
 Prezzemolo,q.b.,n.a.,Pesce finto
 Timo,q.b.,n.a.,Pesce finto
 Aneto,q.b.,n.a.,Pesce finto
 Pepe bianco,q.b.,n.a.,Pesce finto
 Sale fino,q.b.,n.a.,Pesce finto
 Scorza di limone,0.5,Metti dell'ingrediente,Pesce finto
 Pepe rosa in grani,7,pezzi,Pesce finto
 Pepe nero in grani,3,pezzi,Pesce finto
 Timo,7,rametti,Pesce finto
 Patate piccola,1,pezzi,Pesce finto
 Olio extravergine d'oliva,q.b.,n.a.,Pesce finto
 Burro,q.b.,n.a.,Pesce finto
 Olive Ascolane tenere,1,kg,Olive all' ascolana
 Manzo polpa,100,g,Olive all' ascolana
 Maiale polpa,100,g,Olive all' ascolana
 Pollo,100,g,Olive all' ascolana
 Pane mollica,30,g,Olive all' ascolana
 Cipolle,0.5,Metti dell'ingrediente,Olive all' ascolana
 Noce moscata,q.b.,n.a.,Olive all' ascolana
 Parmigiano Reggiano DOP da grattugiare,80,g,Olive all' ascolana
 Scorza di limone,0.5,Metti dell'ingrediente,Olive all' ascolana
 Chiodi di garofano macinati,1,pizzico,Olive all' ascolana
 Carote piccola,1,pezzi,Olive all' ascolana
 Sedano piccola,1,costa,Olive all' ascolana
 Vino bianco,1,bicchiere,Olive all' ascolana
 Uova medio,1,pezzi,Olive all' ascolana
 Sale fino,q.b.,n.a.,Olive all' ascolana
 Uova medie,2,pezzi,Olive all' ascolana
 Farina 00,q.b.,n.a.,Olive all' ascolana
 Pangrattato,q.b.,n.a.,Olive all' ascolana
 Olio extravergine d'oliva,500,ml,Olive all' ascolana
 Friselle,4,pezzi,Friselle con pomodoro e alici
 Pomodorini ciliegino,400,g,Friselle con pomodoro e alici
 Olio extravergine d'oliva,30,g,Friselle con pomodoro e alici
 Basilico,6,foglie,Friselle con pomodoro e alici
 Sale,3,g,Friselle con pomodoro e alici
 Acciughe (alici) marinate,20,g,Friselle con pomodoro e alici
 Aglio,1,spicchio,Friselle con pomodoro e alici
 Origano essiccato,q.b.,n.a.,Friselle con pomodoro e alici
 Peperoncino,1,pezzi,Friselle con pomodoro e alici
 Pepe nero,q.b.,n.a.,Friselle con pomodoro e alici
 Parmigiano Reggiano DOP grattugiaro,100,gr,Frollini al Parmigiano
 Farina 00,125,g,Frollini al Parmigiano
 Burro salato,80,g,Frollini al Parmigiano
 Sale fino,1,pizzico,Frollini al Parmigiano
 Pepe nero,1,pizzico,Frollini al Parmigiano
 Albumi,1,pezzi,Frollini al Parmigiano
 Pinoli,q.b.,n.a.,Frollini al Parmigiano
 Cumino,q.b.,n.a.,Frollini al Parmigiano
 Sale affumicato,q.b.,n.a.,Frollini al Parmigiano
 Pepe di Sichuan,q.b.,n.a.,Frollini al Parmigiano
 Zucchine tonde,600,g,Pizzette di zucchine
 Mozzarella,100,g,Pizzette di zucchine
 Origano,1,g,Pizzette di zucchine
 Sale fino,q.b.,n.a.,Pizzette di zucchine
 Pepe nero,q.b.,n.a.,Pizzette di zucchine
 Passata di pomodoro,200,g,Pizzette di zucchine
 Olio extravergine d'oliva,40,g,Pizzette di zucchine
 Lenticchie secche,200,g,Polpette di lenticchie
 Grana Padano DOP da grattugiare,60,g,Polpette di lenticchie
 Aglio,1,spicchio,Polpette di lenticchie
 Sale fino,q.b.,n.a.,Polpette di lenticchie
 Pepe nero,q.b.,n.a.,Polpette di lenticchie
 Patate ( 1 piccola),100,g,Polpette di lenticchie
 Uova,2,pezzi,Polpette di lenticchie
 Pangrattato,250,g,Polpette di lenticchie
 Olio di semi di arachide,q.b.,n.a.,Polpette di lenticchie
 Bucatini,500,g,Frittatine di pasta napoletane
 Prosciutto cotto da fare a cubetti,150,g,Frittatine di pasta napoletane
 Piselli surgelati,75,g,Frittatine di pasta napoletane
 Aglio,1,spicchio,Frittatine di pasta napoletane
 Olio extravergine d'oliva,q.b.,n.a.,Frittatine di pasta napoletane
 Sale fino,q.b.,n.a.,Frittatine di pasta napoletane
 Farina 00,200,g,Frittatine di pasta napoletane
 Burro,130,g,Frittatine di pasta napoletane
 Latte intero,1,l,Frittatine di pasta napoletane
 Sale fino,q.b.,n.a.,Frittatine di pasta napoletane
 Noce moscata,q.b.,n.a.,Frittatine di pasta napoletane
 Acqua,325,g,Frittatine di pasta napoletane
 Farina 00,200,g,Frittatine di pasta napoletane
 Patate medie,4,pezzi,Chips di patate
 Sale fino,q.b.,n.a.,Chips di patate
 Olio di semi di arachide per friggere,q.b.,n.a.,Chips di patate
 Farina di ceci,500,g,Panelle
 Sale fino,10,g,Panelle
 Prezzemolo da tritare,10,g,Panelle
 Panini al sesamo,10,pezzi,Panelle
 Olio di semi,q.b.,n.a.,Panelle
 Pepe nero,q.b.,n.a.,Panelle
 Aglio,2,spicchi,Melanzane alla sarda
 Olio extravergine d'oliva,q.b.,n.a.,Melanzane alla sarda
 Sale fino,q.b.,n.a.,Melanzane alla sarda
 Pepe nero,q.b.,n.a.,Melanzane alla sarda
 Melanzane,970,g,Melanzane alla sarda
 Pomodori ramati,500,g,Melanzane alla sarda
 Prezzemolo tritato,3,cucchiai,Melanzane alla sarda
 Funghi champignon piccoli pezzi,270,g,Teste di champignon ripieni
 Aglio,1,spicchio,Teste di champignon ripieni
 Olio extravergine d'oliva,2,cucchiai,Teste di champignon ripieni
 Prezzemolo,2,ciuffi,Teste di champignon ripieni
 Pane solo la mollica,30,g,Teste di champignon ripieni
 Grana Padano DOP (di cui 10 g per gratinare),40,g,Teste di champignon ripieni
 Brodo vegetale,50,ml,Teste di champignon ripieni
 Sale fino,1,pizzico,Teste di champignon ripieni
 Pepe nero,q.b.,n.a.,Teste di champignon ripieni
 Cozze,1,kg,Saute di cozze e vongole
 Vongole,1,kg,Saute di cozze e vongole
 Aglio,3,spicchi,Saute di cozze e vongole
 Pepe nero,q.b.,n.a.,Saute di cozze e vongole
 Pomodorini ciliegino,100,g,Saute di cozze e vongole
 Prezzemolo da tritare,2,cucchiai,Saute di cozze e vongole
 Tonno al naturale sgocciolato,112,g,Polpette di tonno e patate
 Patate,650,g,Polpette di tonno e patate
 Timo,q.b.,n.a.,Polpette di tonno e patate
 Salvia,q.b.,n.a.,Polpette di tonno e patate
 Sale fino,q.b.,n.a.,Polpette di tonno e patate
 Pepe nero,q.b.,n.a.,Polpette di tonno e patate
 Scorza di limone,1,pezzi,Polpette di tonno e patate
 Uova,2,pezzi,Polpette di tonno e patate
 Pangrattato,150,g,Polpette di tonno e patate
 Olio di semi,q.b.,n.a.,Polpette di tonno e patate
 Gamberetti,500,g,Spiedini di gamberi
 Olio extravergine d'oliva,4,cucchiai,Spiedini di gamberi
 Zucchine,2,pezzi,Spiedini di gamberi
 Carote,2,pezzi,Spiedini di gamberi
 Farina 00,q.b.,n.a.,Spiedini di gamberi
 Sale fino,q.b.,n.a.,Spiedini di gamberi
 Pepe nero,q.b.,n.a.,Spiedini di gamberi
 Peperoni,850,g,Peperoni ripieni vegetariani
 Patate,400,g,Peperoni ripieni vegetariani
 Zucchine,300,g,Peperoni ripieni vegetariani
 Pomodorini,300,g,Peperoni ripieni vegetariani
 Scamorza (provola),220,g,Peperoni ripieni vegetariani
 Timo,q.b.,n.a.,Peperoni ripieni vegetariani
 Olio extravergine d'oliva,q.b.,n.a.,Peperoni ripieni vegetariani
 Sale fino,q.b.,n.a.,Peperoni ripieni vegetariani
 Pepe nero,q.b.,n.a.,Peperoni ripieni vegetariani
 Tonno in tranci,450,g,Tartare di tonno
 Arance,1,pezzi,Tartare di tonno
 Olio extravergine d'oliva,40,g,Tartare di tonno
 Sale fino,q.b.,n.a.,Tartare di tonno
 Pepe nero,q.b.,n.a.,Tartare di tonno
 Pasta brise,230,g,Tartare di tonno
 Finocchietto selvatico,3,rametti,Tartare di tonno
 Avocado,1,pezzi,Avocado toast
 Pane per tramezzini,4,fette,Avocado toast
 Succo di lime,2,pezzi,Avocado toast
 Cipolle rosse,0.5,Metti dell'ingrediente,Avocado toast
 Peperoncino fresco piccolo,1,pezzi,Avocado toast
 Coriandolo,q.b.,n.a.,Avocado toast
 Sale fino,q.b.,n.a.,Avocado toast
 Olio extravergine d'oliva,10,g,Avocado toast
 Pancetta coppata,8,fette,Avocado toast
 Cavoletti di Bruxelles,20,g,Avocado toast
 Semi di papavero,q.b.,n.a.,Avocado toast
 Sale fino,q.b.,n.a.,Avocado toast
 Olio extravergine d'oliva,q.b.,n.a.,Avocado toast
 Uova,1,pezzi,Avocado toast
 Senape,q.b.,n.a.,Avocado toast
 Sale fino,q.b.,n.a.,Avocado toast
 Olio extravergine d'oliva,q.b.,n.a.,Avocado toast
 Fragole,1,pezzi,Avocado toast
 Mascarpone,10,g,Avocado toast
 Miele millefiori,q.b.,n.a.,Avocado toast
 Zucca violina (gii pulita),500,g,Polpette di zucca
 Pangrattato,100,g,Polpette di zucca
 Parmigiano Reggiano DOP da grattugiare,100,g,Polpette di zucca
 Scamorza affumicata,50,g,Polpette di zucca
 Salvia,q.b.,n.a.,Polpette di zucca
 Uova,1,pezzi,Polpette di zucca
 Olio extravergine d'oliva,q.b.,n.a.,Polpette di zucca
 Sale fino,q.b.,n.a.,Polpette di zucca
 Pepe nero,q.b.,n.a.,Polpette di zucca
 Pangrattato,q.b.,n.a.,Polpette di zucca
 Olio di semi,q.b.,n.a.,Polpette di zucca
 Acqua fredda,240,g,Pizza muffin
 Farina 00,380,g,Pizza muffin
 Sale fino,8,g,Pizza muffin
 Lievito istantaneo per preparazioni salate,16,g,Pizza muffin
 Mozzarella (per pizza),220,g,Pizza muffin
 Passata di pomodoro,130,g,Pizza muffin
 Olio extravergine d'oliva,q.b.,n.a.,Pizza muffin
 Origano,q.b.,n.a.,Pizza muffin
 Mozzarella (4 da 125 g ciascuna),500,g,Mozzarella ripiena
 Pomodorini ciliegino,80,g,Mozzarella ripiena
 Origano secco,q.b.,n.a.,Mozzarella ripiena
 Sale fino,q.b.,n.a.,Mozzarella ripiena
 Olio extravergine d'oliva,q.b.,n.a.,Mozzarella ripiena
 Pepe nero,q.b.,n.a.,Mozzarella ripiena
 Friggitelli,10,pezzi,Friggitelli ripieni vegetariani
 Pangrattato,40,g,Friggitelli ripieni vegetariani
 Pomodori ramati (circa 1),180,g,Friggitelli ripieni vegetariani
 Pomodori secchi sott'olio,40,g,Friggitelli ripieni vegetariani
 Parmigiano Reggiano DOP da grattugiare,30,g,Friggitelli ripieni vegetariani
 Basilico,q.b.,n.a.,Friggitelli ripieni vegetariani
 Sale fino,q.b.,n.a.,Friggitelli ripieni vegetariani
 Olio extravergine d'oliva,q.b.,n.a.,Friggitelli ripieni vegetariani
 Zucchine tonde,200,g,Rotolini di zucchina in sfoglia
 Scamorza (provola),150,g,Rotolini di zucchina in sfoglia
 Pasta Sfoglia (rettangolare),230,g,Rotolini di zucchina in sfoglia
 Sale fino,q.b.,n.a,Rotolini di zucchina in sfoglia
 Pepe nero,q.b.,n.a,Rotolini di zucchina in sfoglia
 Albumi,1,pezzi,Rotolini di zucchina in sfoglia
 Uova,2,pezzi,Fagottini di porri salmone e robiola
 Latte,300,g,Fagottini di porri salmone e robiola
 Farina 00,150,g,Fagottini di porri salmone e robiola
 Burro,40,g,Fagottini di porri salmone e robiola
 Sale fino,1,pizzico,Fagottini di porri salmone e robiola
 Porri,500,g,Fagottini di porri salmone e robiola
 Robiola,100,g,Fagottini di porri salmone e robiola
 Salmone,100,g,Fagottini di porri salmone e robiola
 Grana Padano DOP da grattugiare,50,g,Fagottini di porri salmone e robiola
 Noce moscata,q.b.,n.a,Fagottini di porri salmone e robiola
 Pepe,q.b.,n.a,Fagottini di porri salmone e robiola
 Latte,100,g,Fagottini di porri salmone e robiola
 Sale fino,q.b.,n.a,Fagottini di porri salmone e robiola
 Timo,3,rametti,Fagottini di porri salmone e robiola
 Aglio,1,spicchio,Fagottini di porri salmone e robiola
 Cipolle (2 grandi e tonde),120,g,Anelli di cipolla in pastella
 Farina 00,90,g,Anelli di cipolla in pastella
 Lievito istantaneo per preparazioni salate ,0.5,Metti dell'ingrediente,Anelli di cipolla in pastella
 Uova,1,pezzi,Anelli di cipolla in pastella
 Latte intero,100,ml,Anelli di cipolla in pastella
 Olio extravergine d'oliva,1,cucchiaio,Anelli di cipolla in pastella
 Sale fino,q.b.,n.a,Anelli di cipolla in pastella
 Olio di semi di arachide,q.b.,n.a,Anelli di cipolla in pastella
 Stoccafisso (gii ammollato),500,g,Baccala mantecato alla veneziana
 Olio extravergine d'oliva,280,g,Baccala mantecato alla veneziana
 Limoni,0.5,Metti dell'ingrediente,Baccala mantecato alla veneziana
