Ingrediente,Quantita,Unita_di_misura,Nome_Piatto,,,,
 Sale grosso,30.0,g,Zucchine fritte,,,,
 Farina 00,100.0,g,Zucchine fritte,,,,
 Olio di semi di arachide,600.0,g,Zucchine fritte,,,,
 Gamberi,1.0,kg,Gamberi al cocco,,,,
 Farina di riso,150.0,g,Gamberi al cocco,,,,
 Farina di cocco,150.0,g,Gamberi al cocco,,,,
 Uova,3.0,pezzi,Gamberi al cocco,,,,
 Sale fino,-1.0,n.a.,Gamberi al cocco,,,,
 Latte di soia,100.0,g,Gamberi al cocco,,,,
 Olio di semi di girasole,200.0,g,Gamberi al cocco,,,,
 Succo di lime,10.0,g,Gamberi al cocco,,,,
 Triplo concentrato di pomodoro,10.0,g,Gamberi al cocco,,,,
 Curry thai rosso,5.0,g,Gamberi al cocco,,,,
 Sale fino,-1.0,n.a.,Gamberi al cocco,,,,
 Olio di semi di arachide,1.0,l,Gamberi al cocco,,,,
 Avocado,2.0,pezzi,Avocado. uova e salmone,,,,
 Uova medie,4.0,pezzi,Avocado. uova e salmone,,,,
 Salmone affumicato,90.0,g,Avocado. uova e salmone,,,,
 Erba cipollina,6.0,rametti,Avocado. uova e salmone,,,,
 Lime,1.0,pezzi,Avocado. uova e salmone,,,,
 Sale fino,-1.0,n.a.,Avocado. uova e salmone,,,,
 Pepe nero,-1.0,n.a.,Avocado. uova e salmone,,,,
 Pepe rosa in grani,-1.0,n.a.,Avocado. uova e salmone,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Avocado. uova e salmone,,,,
 Pesche noci,1.0,pezzi,Insalata di frutta,,,,
 Ciliegie,150.0,g,Insalata di frutta,,,,
 Mirtilli,60.0,g,Insalata di frutta,,,,
 Fragole,90.0,g,Insalata di frutta,,,,
 Fichi,2.0,pezzi,Insalata di frutta,,,,
 Sedano (con le foglie),2.0,coste,Insalata di frutta,,,,
 Arachidi (non tostate e non salate),40.0,g,Insalata di frutta,,,,
 Succo di limone,30.0,g,Insalata di frutta,,,,
 Olio extravergine d'oliva,30.0,g,Insalata di frutta,,,,
 Sale fino,1.0,pizzico,Insalata di frutta,,,,
 Tonno,550.0,g,Poke,,,,
 Gambi di cipollotto,20.0,g,Poke,,,,
 Olio di sesamo,20.0,g,Poke,,,,
 Semi di sesamo,0.5,Met� dell'ingrediente,Poke,,,,
 Peperoncino fresco,20.0,g,Poke,,,,
 Sale delle Hawaii,0.5,Met� dell'ingrediente,Poke,,,,
 Salsa di soia,20.0,g,Poke,,,,
 Pane casereccio (4 fette),200.0,g,Crostino vegano,,,,
 Olio extravergine d'oliva,100.0,g,Crostino vegano,,,,
 Tofu,100.0,g,Crostino vegano,,,,
 Pistacchi non salati,50.0,g,Crostino vegano,,,,
 Basilico,10.0,g,Crostino vegano,,,,
 Sale fino,-1.0,n.a.,Crostino vegano,,,,
 Pomodorini gialli,100.0,g,Crostino vegano,,,,
 Olive taggiasche,30.0,g,Crostino vegano,,,,
 Carote,80.0,g,Crostino vegano,,,,
 Germogli di barbabietola,30.0,g,Crostino vegano,,,,
 Origano,-1.0,n.a.,Crostino vegano,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Crostino vegano,,,,
 Basilico,-1.0,n.a.,Crostino vegano,,,,
 Melanzane,500.0,g,Melanzane sott'olio,,,,
 Aceto di vino bianco,350.0,g,Melanzane sott'olio,,,,
 Aglio,3.0,spicchi,Melanzane sott'olio,,,,
 Olio extravergine d'oliva,400.0,g,Melanzane sott'olio,,,,
 Acqua,350.0,g,Melanzane sott'olio,,,,
 Fichi medi,8.0,pezzi,Roselline di prosciutto crudo su fichi,,,,
 Prosciutto crudo,8.0,fette,Roselline di prosciutto crudo su fichi,,,,
 Zucchero di canna,30.0,g,Roselline di prosciutto crudo su fichi,,,,
 Ceci precotti,600.0,g,Hummus,,,,
 Semi di sesamo,100.0,g,Hummus,,,,
 Acqua calda,150.0,g,Hummus,,,,
 Succo di limone,0.5,Met� dell'ingrediente,Hummus,,,,
 Olio di sesamo,30.0,g,Hummus,,,,
 Paprika,0.5,Met� dell'ingrediente,Hummus,,,,
 Aglio,1.0,spicchio,Hummus,,,,
 Sale fino,-1.0,n.a.,Hummus,,,,
 Pepe nero,-1.0,n.a.,Hummus,,,,
 Prezzemolo,1.0,ciuffo,Hummus,,,,
 Mozzarella di bufala ( 4 da 250 gr l'una),1.0,kg,Caprese sfiziosa con salsa all'origano,,,,
 Pomodori ramati sodi e maturi (delle stesse dimensioni della mozzarella),4.0,pezzi,Caprese sfiziosa con salsa all'origano,,,,
 Basilico,50.0,g,Caprese sfiziosa con salsa all'origano,,,,
 Sale fino,-1.0,n.a.,Caprese sfiziosa con salsa all'origano,,,,
 Olio extravergine d'oliva,100.0,g,Caprese sfiziosa con salsa all'origano,,,,
 Origano secco,2.0,g,Caprese sfiziosa con salsa all'origano,,,,
 Riso superfino,500.0,g,Suppl� al telefono,,,,
 Carne bovina macinata,150.0,g,Suppl� al telefono,,,,
 Fegatini di pollo,60.0,g,Suppl� al telefono,,,,
 Mozzarella,200.0,g,Suppl� al telefono,,,,
 Funghi secchi,50.0,g,Suppl� al telefono,,,,
 Uova medie,2.0,pezzi,Suppl� al telefono,,,,
 Passata di pomodoro,400.0,g,Suppl� al telefono,,,,
 Brodo di carne,1.0,l,Suppl� al telefono,,,,
 Grana Padano DOP,120.0,g,Suppl� al telefono,,,,
 Cipolle,0.5,Met� dell'ingrediente,Suppl� al telefono,,,,
 Burro + 50 g per mantecare,30.0,g,Suppl� al telefono,,,,
 Vino bianco,100.0,ml,Suppl� al telefono,,,,
 Olio extravergine d'oliva,2.0,cucchiai,Suppl� al telefono,,,,
 Sale fino,-1.0,n.a.,Suppl� al telefono,,,,
 Pepe nero,-1.0,n.a.,Suppl� al telefono,,,,
 Pangrattato,-1.0,n.a.,Suppl� al telefono,,,,
 Uova,2.0,pezzi,Suppl� al telefono,,,,
 Olio di semi di arachide,-1.0,n.a.,Suppl� al telefono,,,,
 Patate rosse,1.0,kg,Crocchette di patate al forno,,,,
 Tuorli,30.0,g,Crocchette di patate al forno,,,,
 Noce moscata,-1.0,n.a.,Crocchette di patate al forno,,,,
 Pepe nero,-1.0,n.a.,Crocchette di patate al forno,,,,
 Sale fino,-1.0,n.a.,Crocchette di patate al forno,,,,
 Parmigiano Reggiano DOP grattugiato,100.0,g,Crocchette di patate al forno,,,,
 Uova (2 uova medie),130.0,g,Crocchette di patate al forno,,,,
 Pangrattato,-1.0,n.a.,Crocchette di patate al forno,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Crocchette di patate al forno,,,,
 Asparagi,800.0,g,Asparagi in sfoglia con crudo,,,,
 Pasta Sfoglia,250.0,g,Asparagi in sfoglia con crudo,,,,
 Prosciutto crudo,8.0,fette,Asparagi in sfoglia con crudo,,,,
 Grana Padano DOP a scaglie,30.0,g,Asparagi in sfoglia con crudo,,,,
 Uova,1.0,pezzi,Asparagi in sfoglia con crudo,,,,
 Patate rosse,600.0,g,Sbriciolata di patate,,,,
 Mozzarella di bufala affumicata,250.0,g,Sbriciolata di patate,,,,
 Pancetta arrotolata a fette,100.0,g,Sbriciolata di patate,,,,
 Uova medio,1.0,pezzi,Sbriciolata di patate,,,,
 Parmigiano Reggiano DOP da grattugiare,80.0,g,Sbriciolata di patate,,,,
 Amido di mais (maizena) senza glutine,200.0,g,Sbriciolata di patate,,,,
 Sale fino,-1.0,n.a.,Sbriciolata di patate,,,,
 Pepe nero,-1.0,n.a.,Sbriciolata di patate,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Sbriciolata di patate,,,,
 Zucchine,800.0,g,Insalata di zucchine alla menta e basilico,,,,
 Basilico,4.0,foglie,Insalata di zucchine alla menta e basilico,,,,
 Menta,4.0,foglie,Insalata di zucchine alla menta e basilico,,,,
 Sale grosso,1.0,cucchiaio,Insalata di zucchine alla menta e basilico,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Insalata di zucchine alla menta e basilico,,,,
 Sale fino,-1.0,n.a.,Insalata di zucchine alla menta e basilico,,,,
 Pepe nero,-1.0,n.a.,Insalata di zucchine alla menta e basilico,,,,
 Aglio,1.0,spicchio,Insalata di zucchine alla menta e basilico,,,,
 Worcestershire sauce,0.5,Met� dell'ingrediente,Salsa cocktail,,,,
 Salsa ketchup,45.0,g,Salsa cocktail,,,,
 Tabasco,-1.0,n.a.,Salsa cocktail,,,,
 Brandy,0.5,Met� dell'ingrediente,Salsa cocktail,,,,
 Tuorli (a temperatura ambiente),1.0,pezzi,Salsa cocktail,,,,
 Succo di limone,15.0,g,Salsa cocktail,,,,
 Olio di semi di girasole,120.0,g,Salsa cocktail,,,,
 Pepe nero,-1.0,n.a.,Salsa cocktail,,,,
 Sale fino,-1.0,n.a.,Salsa cocktail,,,,
 Zucchine baby con i fiori,300.0,g,Plumcake alle zucchine,,,,
 Uova ( circa 3) a temperatura ambiente,160.0,g,Plumcake alle zucchine,,,,
 Farina 00,180.0,g,Plumcake alle zucchine,,,,
 Latte intero a temperatura ambiente,100.0,g,Plumcake alle zucchine,,,,
 Olio di semi di girasole,100.0,g,Plumcake alle zucchine,,,,
 Provolone piccante,200.0,g,Plumcake alle zucchine,,,,
 Menta,10.0,foglie,Plumcake alle zucchine,,,,
 Lievito istantaneo per preparazioni salate,16.0,g,Plumcake alle zucchine,,,,
 Sale fino,-1.0,n.a.,Plumcake alle zucchine,,,,
 Pepe nero,-1.0,n.a.,Plumcake alle zucchine,,,,
 Riso Carnaroli,280.0,g,Involtini di verza,,,,
 Verza,6.0,foglie,Involtini di verza,,,,
 Salsiccia,350.0,g,Involtini di verza,,,,
 Sedano,40.0,g,Involtini di verza,,,,
 Carote,40.0,g,Involtini di verza,,,,
 Cipolle dorate,40.0,g,Involtini di verza,,,,
 Olio di oliva,50.0,g,Involtini di verza,,,,
 Burro,30.0,g,Involtini di verza,,,,
 Brodo vegetale,1.0,l,Involtini di verza,,,,
 Sale fino,-1.0,n.a.,Involtini di verza,,,,
 Pepe nero,-1.0,n.a.,Involtini di verza,,,,
 Grana Padano DOP grattugiato,80.0,g,Involtini di verza,,,,
 Timo,2.0,rametti,Involtini di verza,,,,
 Vino bianco,60.0,g,Involtini di verza,,,,
 Tomini,4.0,pezzi,Tomino in crosta di sfoglia,,,,
 Pasta Sfoglia rettangolare,230.0,g,Tomino in crosta di sfoglia,,,,
 Prosciutto cotto (4 fette),70.0,g,Tomino in crosta di sfoglia,,,,
 Timo,-1.0,n.a.,Tomino in crosta di sfoglia,,,,
 Pepe nero,-1.0,n.a.,Tomino in crosta di sfoglia,,,,
 Tuorli,1.0,pezzi,Tomino in crosta di sfoglia,,,,
 Panna fresca liquida,10.0,g,Tomino in crosta di sfoglia,,,,
 Gamberi (12 pezzi),600.0,g,Gamberi in crosta,,,,
 Pasta Sfoglia,120.0,g,Gamberi in crosta,,,,
 Uova,1.0,pezzi,Gamberi in crosta,,,,
 Semi di sesamo nero,0.5,Met� dell'ingrediente,Gamberi in crosta,,,,
 Semi di sesamo,0.5,Met� dell'ingrediente,Gamberi in crosta,,,,
 Semi di girasole,0.5,Met� dell'ingrediente,Gamberi in crosta,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Gamberi in crosta,,,,
 Sale fino,-1.0,n.a.,Gamberi in crosta,,,,
 Pepe nero,-1.0,n.a.,Gamberi in crosta,,,,
 Yogurt greco,200.0,g,Gamberi in crosta,,,,
 Menta,1.0,ciuffo,Gamberi in crosta,,,,
 Succo di limone,0.5,Met� dell'ingrediente,Gamberi in crosta,,,,
 Olio extravergine d'oliva,10.0,g,Gamberi in crosta,,,,
 Sale fino,-1.0,n.a.,Gamberi in crosta,,,,
 Pepe nero,-1.0,n.a.,Gamberi in crosta,,,,
 Patate ( circa 1),180.0,g,Tortino di patate in padella,,,,
 Pecorino da grattugiare,40.0,g,Tortino di patate in padella,,,,
 Fiori di zucca,6.0,pezzi,Tortino di patate in padella,,,,
 Fontina,100.0,g,Tortino di patate in padella,,,,
 Prosciutto cotto,110.0,g,Tortino di patate in padella,,,,
 Yogurt bianco naturale compatto,150.0,g,Insalata allo yogurt con salmone e gamberetti,,,,
 Salmone affumicato,100.0,g,Insalata allo yogurt con salmone e gamberetti,,,,
 Gamberetti,100.0,g,Insalata allo yogurt con salmone e gamberetti,,,,
 Succo di limone,1.0,pezzi,Insalata allo yogurt con salmone e gamberetti,,,,
 Pepe nero,1.0,g,Insalata allo yogurt con salmone e gamberetti,,,,
 Olio extravergine d'oliva,40.0,g,Insalata allo yogurt con salmone e gamberetti,,,,
 Erba cipollina,2.0,g,Insalata allo yogurt con salmone e gamberetti,,,,
 Radicchio,100.0,g,Insalata allo yogurt con salmone e gamberetti,,,,
 Sale fino,2.0,g,Insalata allo yogurt con salmone e gamberetti,,,,
 Lattuga iceberg,100.0,g,Insalata allo yogurt con salmone e gamberetti,,,,
 Patate a pasta bianca,680.0,g,Pesce finto,,,,
 Tonno sott'olio,240.0,g,Pesce finto,,,,
 Prezzemolo,-1.0,n.a.,Pesce finto,,,,
 Timo,-1.0,n.a.,Pesce finto,,,,
 Aneto,-1.0,n.a.,Pesce finto,,,,
 Pepe bianco,-1.0,n.a.,Pesce finto,,,,
 Sale fino,-1.0,n.a.,Pesce finto,,,,
 Scorza di limone,0.5,Met� dell'ingrediente,Pesce finto,,,,
 Pepe rosa in grani,7.0,pezzi,Pesce finto,,,,
 Pepe nero in grani,3.0,pezzi,Pesce finto,,,,
 Timo,7.0,rametti,Pesce finto,,,,
 Patate piccola,1.0,pezzi,Pesce finto,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Pesce finto,,,,
 Burro,-1.0,n.a.,Pesce finto,,,,
 Olive Ascolane tenere,1.0,kg,Olive all' ascolana,,,,
 Manzo polpa,100.0,g,Olive all' ascolana,,,,
 Maiale polpa,100.0,g,Olive all' ascolana,,,,
 Pollo,100.0,g,Olive all' ascolana,,,,
 Pane mollica,30.0,g,Olive all' ascolana,,,,
 Cipolle,0.5,Met� dell'ingrediente,Olive all' ascolana,,,,
 Noce moscata,-1.0,n.a.,Olive all' ascolana,,,,
 Parmigiano Reggiano DOP da grattugiare,80.0,g,Olive all' ascolana,,,,
 Scorza di limone,0.5,Met� dell'ingrediente,Olive all' ascolana,,,,
 Chiodi di garofano macinati,1.0,pizzico,Olive all' ascolana,,,,
 Carote piccola,1.0,pezzi,Olive all' ascolana,,,,
 Sedano piccola,1.0,costa,Olive all' ascolana,,,,
 Vino bianco,1.0,bicchiere,Olive all' ascolana,,,,
 Uova medio,1.0,pezzi,Olive all' ascolana,,,,
 Sale fino,-1.0,n.a.,Olive all' ascolana,,,,
 Uova medie,2.0,pezzi,Olive all' ascolana,,,,
 Farina 00,-1.0,n.a.,Olive all' ascolana,,,,
 Pangrattato,-1.0,n.a.,Olive all' ascolana,,,,
 Olio extravergine d'oliva,500.0,ml,Olive all' ascolana,,,,
 Friselle,4.0,pezzi,Friselle con pomodoro e alici,,,,
 Pomodorini ciliegino,400.0,g,Friselle con pomodoro e alici,,,,
 Olio extravergine d'oliva,30.0,g,Friselle con pomodoro e alici,,,,
 Basilico,6.0,foglie,Friselle con pomodoro e alici,,,,
 Sale,3.0,g,Friselle con pomodoro e alici,,,,
 Acciughe (alici) marinate,20.0,g,Friselle con pomodoro e alici,,,,
 Aglio,1.0,spicchio,Friselle con pomodoro e alici,,,,
 Origano essiccato,-1.0,n.a.,Friselle con pomodoro e alici,,,,
 Peperoncino,1.0,pezzi,Friselle con pomodoro e alici,,,,
 Pepe nero,-1.0,n.a.,Friselle con pomodoro e alici,,,,
 Parmigiano Reggiano DOP grattugiaro,100.0,gr,Frollini al Parmigiano,,,,
 Farina 00,125.0,g,Frollini al Parmigiano,,,,
 Burro salato,80.0,g,Frollini al Parmigiano,,,,
 Sale fino,1.0,pizzico,Frollini al Parmigiano,,,,
 Pepe nero,1.0,pizzico,Frollini al Parmigiano,,,,
 Albumi,1.0,pezzi,Frollini al Parmigiano,,,,
 Pinoli,-1.0,n.a.,Frollini al Parmigiano,,,,
 Cumino,-1.0,n.a.,Frollini al Parmigiano,,,,
 Sale affumicato,-1.0,n.a.,Frollini al Parmigiano,,,,
 Pepe di Sichuan,-1.0,n.a.,Frollini al Parmigiano,,,,
 Zucchine tonde,600.0,g,Pizzette di zucchine,,,,
 Mozzarella,100.0,g,Pizzette di zucchine,,,,
 Origano,1.0,g,Pizzette di zucchine,,,,
 Sale fino,-1.0,n.a.,Pizzette di zucchine,,,,
 Pepe nero,-1.0,n.a.,Pizzette di zucchine,,,,
 Passata di pomodoro,200.0,g,Pizzette di zucchine,,,,
 Olio extravergine d'oliva,40.0,g,Pizzette di zucchine,,,,
 Lenticchie secche,200.0,g,Polpette di lenticchie,,,,
 Grana Padano DOP da grattugiare,60.0,g,Polpette di lenticchie,,,,
 Aglio,1.0,spicchio,Polpette di lenticchie,,,,
 Sale fino,-1.0,n.a.,Polpette di lenticchie,,,,
 Pepe nero,-1.0,n.a.,Polpette di lenticchie,,,,
 Patate ( 1 piccola),100.0,g,Polpette di lenticchie,,,,
 Uova,2.0,pezzi,Polpette di lenticchie,,,,
 Pangrattato,250.0,g,Polpette di lenticchie,,,,
 Olio di semi di arachide,-1.0,n.a.,Polpette di lenticchie,,,,
 Bucatini,500.0,g,Frittatine di pasta napoletane,,,,
 Prosciutto cotto da fare a cubetti,150.0,g,Frittatine di pasta napoletane,,,,
 Piselli surgelati,75.0,g,Frittatine di pasta napoletane,,,,
 Aglio,1.0,spicchio,Frittatine di pasta napoletane,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Frittatine di pasta napoletane,,,,
 Sale fino,-1.0,n.a.,Frittatine di pasta napoletane,,,,
 Farina 00,200.0,g,Frittatine di pasta napoletane,,,,
 Burro,130.0,g,Frittatine di pasta napoletane,,,,
 Latte intero,1.0,l,Frittatine di pasta napoletane,,,,
 Sale fino,-1.0,n.a.,Frittatine di pasta napoletane,,,,
 Noce moscata,-1.0,n.a.,Frittatine di pasta napoletane,,,,
 Acqua,325.0,g,Frittatine di pasta napoletane,,,,
 Farina 00,200.0,g,Frittatine di pasta napoletane,,,,
 Patate medie,4.0,pezzi,Chips di patate,,,,
 Sale fino,-1.0,n.a.,Chips di patate,,,,
 Olio di semi di arachide per friggere,-1.0,n.a.,Chips di patate,,,,
 Farina di ceci,500.0,g,Panelle,,,,
 Sale fino,10.0,g,Panelle,,,,
 Prezzemolo da tritare,10.0,g,Panelle,,,,
 Panini al sesamo,10.0,pezzi,Panelle,,,,
 Olio di semi,-1.0,n.a.,Panelle,,,,
 Pepe nero,-1.0,n.a.,Panelle,,,,
 Aglio,2.0,spicchi,Melanzane alla sarda,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Melanzane alla sarda,,,,
 Sale fino,-1.0,n.a.,Melanzane alla sarda,,,,
 Pepe nero,-1.0,n.a.,Melanzane alla sarda,,,,
 Melanzane,970.0,g,Melanzane alla sarda,,,,
 Pomodori ramati,500.0,g,Melanzane alla sarda,,,,
 Prezzemolo tritato,3.0,cucchiai,Melanzane alla sarda,,,,
 Funghi champignon piccoli pezzi,270.0,g,Teste di champignon ripieni,,,,
 Aglio,1.0,spicchio,Teste di champignon ripieni,,,,
 Olio extravergine d'oliva,2.0,cucchiai,Teste di champignon ripieni,,,,
 Prezzemolo,2.0,ciuffi,Teste di champignon ripieni,,,,
 Pane solo la mollica,30.0,g,Teste di champignon ripieni,,,,
 Grana Padano DOP (di cui 10 g per gratinare),40.0,g,Teste di champignon ripieni,,,,
 Brodo vegetale,50.0,ml,Teste di champignon ripieni,,,,
 Sale fino,1.0,pizzico,Teste di champignon ripieni,,,,
 Pepe nero,-1.0,n.a.,Teste di champignon ripieni,,,,
 Cozze,1.0,kg,Saut� di cozze e vongole,,,,
 Vongole,1.0,kg,Saut� di cozze e vongole,,,,
 Aglio,3.0,spicchi,Saut� di cozze e vongole,,,,
 Pepe nero,-1.0,n.a.,Saut� di cozze e vongole,,,,
 Pomodorini ciliegino,100.0,g,Saut� di cozze e vongole,,,,
 Prezzemolo da tritare,2.0,cucchiai,Saut� di cozze e vongole,,,,
 Tonno al naturale sgocciolato,112.0,g,Polpette di tonno e patate,,,,
 Patate,650.0,g,Polpette di tonno e patate,,,,
 Timo,-1.0,n.a.,Polpette di tonno e patate,,,,
 Salvia,-1.0,n.a.,Polpette di tonno e patate,,,,
 Sale fino,-1.0,n.a.,Polpette di tonno e patate,,,,
 Pepe nero,-1.0,n.a.,Polpette di tonno e patate,,,,
 Scorza di limone,1.0,pezzi,Polpette di tonno e patate,,,,
 Uova,2.0,pezzi,Polpette di tonno e patate,,,,
 Pangrattato,150.0,g,Polpette di tonno e patate,,,,
 Olio di semi,-1.0,n.a.,Polpette di tonno e patate,,,,
 Gamberetti,500.0,g,Spiedini di gamberi,,,,
 Olio extravergine d'oliva,4.0,cucchiai,Spiedini di gamberi,,,,
 Zucchine,2.0,pezzi,Spiedini di gamberi,,,,
 Carote,2.0,pezzi,Spiedini di gamberi,,,,
 Farina 00,-1.0,n.a.,Spiedini di gamberi,,,,
 Sale fino,-1.0,n.a.,Spiedini di gamberi,,,,
 Pepe nero,-1.0,n.a.,Spiedini di gamberi,,,,
 Peperoni,850.0,g,Peperoni ripieni vegetariani,,,,
 Patate,400.0,g,Peperoni ripieni vegetariani,,,,
 Zucchine,300.0,g,Peperoni ripieni vegetariani,,,,
 Pomodorini,300.0,g,Peperoni ripieni vegetariani,,,,
 Scamorza (provola),220.0,g,Peperoni ripieni vegetariani,,,,
 Timo,-1.0,n.a.,Peperoni ripieni vegetariani,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Peperoni ripieni vegetariani,,,,
 Sale fino,-1.0,n.a.,Peperoni ripieni vegetariani,,,,
 Pepe nero,-1.0,n.a.,Peperoni ripieni vegetariani,,,,
 Tonno in tranci,450.0,g,Tartare di tonno,,,,
 Arance,1.0,pezzi,Tartare di tonno,,,,
 Olio extravergine d'oliva,40.0,g,Tartare di tonno,,,,
 Sale fino,-1.0,n.a.,Tartare di tonno,,,,
 Pepe nero,-1.0,n.a.,Tartare di tonno,,,,
 Pasta bris�,230.0,g,Tartare di tonno,,,,
 Finocchietto selvatico,3.0,rametti,Tartare di tonno,,,,
 Avocado,1.0,pezzi,Avocado toast,,,,
 Pane per tramezzini,4.0,fette,Avocado toast,,,,
 Succo di lime,2.0,pezzi,Avocado toast,,,,
